Community,Size,Documents
3986,11," astronomy ,  toyi ,  debt ,  horses ,  mutations ,  neck ,  oslo ,  pointxi ,  sequencing ,  thecost ,  thexi "
8994,11," benoit ,  brevdo ,  citro ,  harp ,  kudlur ,  manjunath ,  sherry ,  warden ,  wicke ,  xiaoqiang ,  yangqing "
13126,11," tency ,  madry ,  santurkar ,  tsipras ,  papernot ,  bruna ,  carlini ,  defenses ,  makelov ,  perturba ,  vladu "
13745,11," kautz ,  moussa ,  bastian ,  halanobis ,  icmla ,  svdd ,  leather ,  ssim ,  hengel ,  anton ,  reda "
2778,10," paszke ,  antiga ,  bradbury ,  chanan ,  gimelshein ,  killeen ,  lerer ,  massa ,  natalia ,  zeming "
4359,10," counterexample ,  aly ,  iss ,  iw ,  llll ,  maxarg ,  meantime ,  mmm ,  salmon ,  xxs "
7602,10," allan ,  chakrabarti ,  chies ,  globe ,  kifer ,  lavin ,  stamp ,  suman ,  synthetically ,  weikum "
7778,10," ablating ,  blaschko ,  clamp ,  fps ,  hori ,  shelhamer ,  tps ,  triggs ,  xif ,  zontal "
8101,10," alaa ,  belhumeur ,  eigenfaces ,  ella ,  ghodsi ,  hassanien ,  hespanha ,  kriegman ,  mahdi ,  plained "
13966,10," brucher ,  cournapeau ,  dubourg ,  duchesnay ,  grisel ,  perrot ,  prettenhofer ,  thirion ,  vanderplas ,  passos "
14643,10," elemen ,  eing ,  relativ ,  teger ,  describ ,  eigh ,  ersit ,  hiev ,  hoice ,  oin "
5421,9," nab ,  bezdek ,  ilof ,  latecki ,  leckie ,  pokrajac ,  rundensteiner ,  salehi ,  vaithianathan "
5567,9," peel ,  secant ,  alluded ,  assured ,  eiss ,  hardie ,  hyperlinks ,  nient ,  typo "
7763,9," ame ,  bump ,  calc ,  climbing ,  crux ,  eliho ,  ete ,  optimistically ,  pnas "
9509,9," gnu ,  tushar ,  impress ,  kute ,  libreoffice ,  mitu ,  mituskillologies ,  skillologies ,  tusharkute "
2383,8," void ,  fragmentation ,  newmax ,  newmin ,  openings ,  predicates ,  printf ,  stdio "
2877,8," sohn ,  finley ,  khosla ,  rable ,  radlinski ,  russakovsky ,  satheesh ,  schwing "
4528,8," divisor ,  devore ,  diesel ,  heating ,  durability ,  corrosion ,  fuels ,  reinforcing "
6111,8," summit ,  ankur ,  batchsize ,  harshly ,  rewarded ,  yilog ,  ypred ,  ytrue "
10170,8," driessen ,  erefore ,  mcd ,  stahel ,  troduction ,  woodruff ,  yor ,  zomeren "
10819,8," exponentials ,  activate ,  egative ,  mseloss ,  bceloss ,  bcewithlogitsloss ,  logsoftmax ,  nllloss "
12248,8," manzoor ,  icdmw ,  icst ,  outlierness ,  siddiqui ,  spacecraft ,  verdejo ,  yairi "
553,7," pend ,  rh ,  asses ,  diagonals ,  exerts ,  influ ,  spacex "
4610,7," emitted ,  meme ,  motif ,  motifs ,  mers ,  nucleotide ,  unsolvable "
4909,7," healy ,  krishnaiah ,  larson ,  carlson ,  municipal ,  plenum ,  wce "
6549,7," ezi ,  wherek ,  faisal ,  zebra ,  labely ,  inputx ,  squashes "
7005,7," aut ,  imports ,  maintainer ,  needscompilation ,  roxygennote ,  utc ,  utf "
7830,7," everingham ,  gool ,  iou ,  nms ,  suppression ,  vittorio ,  winn "
11142,7," anscombe ,  confidentiality ,  guttman ,  jim ,  manish ,  suspicions ,  terrorist "
18836,7," abd ,  bcd ,  abcd ,  acd ,  acde ,  cde ,  diaper "
12967,7," ndim ,  preced ,  cartoon ,  astype ,  iterator ,  preinstalled ,  superhuman "
14529,7," mia ,  ami ,  desires ,  dialect ,  dialects ,  sami ,  webpages "
15766,7," peking ,  econom ,  tatistical ,  tentatively ,  coastal ,  venient ,  periodical "
18052,7," jjr ,  jjs ,  superlative ,  preposition ,  participle ,  vbp ,  rbs "
4265,6," compressible ,  agglomeration ,  burdens ,  relocation ,  intraclass ,  atms "
6729,6," transmitter ,  americans ,  prison ,  revise ,  revising ,  substance "
7221,6," aircrafts ,  cosmic ,  pearl ,  snr ,  terrestrial ,  xts "
8104,6," aydin ,  berghe ,  crowley ,  uwaterloo ,  vanden ,  waterloo "
9459,6," contestants ,  distracting ,  endangered ,  millionaire ,  physicist ,  postprocessing "
14214,6," laviolette ,  marchand ,  ajakan ,  clune ,  ganin ,  lipson "
2328,5," tsitsiklis ,  ail ,  occu ,  flying ,  registers "
2839,5," requested ,  profile ,  uploaded ,  citations ,  researchgate "
4652,5," ethel ,  lemmatizer ,  lemmatize ,  vimala ,  yemoh "
4767,5," forj ,  logf ,  norwell ,  eachi ,  wik "
5125,5," juang ,  liet ,  cosface ,  sphereface ,  washing "
5597,5," photocopying ,  arkansas ,  organic ,  unaccounted ,  yik "
7561,5," inconsequential ,  jaime ,  oftentimes ,  reli ,  ret "
9637,5," typing ,  idle ,  temple ,  tfidf ,  username "
10324,5," diana ,  flinger ,  mindrila ,  notz ,  phoebe "
10392,5," chemists ,  coal ,  endeavour ,  furnish ,  rations "
12700,5," barber ,  ope ,  pratt ,  rationales ,  xip "
13397,5," aidan ,  illia ,  jakob ,  llion ,  niki "
17606,5," bremen ,  abandoned ,  amateur ,  backing ,  trump "
18241,5," karro ,  kochanski ,  moitra ,  solnik ,  vizier "
4385,4," cursory ,  repe ,  scie ,  utions "
4404,4," datta ,  departments ,  cereal ,  martial "
4823,4," gent ,  honda ,  naga ,  wellesley "
4935,4," hoaglin ,  arbitrariness ,  ress ,  nonconstant "
5724,4," pz ,  statlog ,  equivalents ,  toa "
8309,4," facenet ,  kalenichenko ,  philbin ,  schroff "
8974,4," abadi ,  barham ,  ghemawat ,  irving "
11062,4," akoglu ,  dengel ,  inlier ,  nasrullah "
11408,4," benesty ,  ridgeway ,  logitboost ,  gbrt "
12483,4," conformity ,  shirani ,  figuring ,  threes "
12659,4," aas ,  ested ,  aloss ,  outweighs "
13196,4," aila ,  karras ,  laine ,  lehtinen "
13679,4," aloci ,  cof ,  kitagawa ,  lrd "
13878,4," olap ,  brin ,  interestin ,  unexpectedness "
14069,4," glmnet ,  caret ,  traincontrol ,  trcontrol "
14793,4," uninteresting ,  honey ,  abce ,  decouple "
17136,4," ctrl ,  faq ,  kfold ,  logging "
2783,3," pedregosa ,  blondel ,  gramfort "
3341,3," synapses ,  axon ,  dendrites "
4836,3," git ,  gvu ,  neal "
6069,3," stoffer ,  tentative ,  onc "
6522,3," datay ,  sayw ,  thaty "
6613,3," macqueen ,  intracluster ,  ruth "
6676,3," rocessing ,  knowledg ,  associatio "
6943,3," cough ,  esc ,  infections "
7008,3," config ,  connectors ,  npc "
7970,3," bto ,  cessive ,  hsiao "
7985,3," cvprw ,  fleet ,  lazebnik "
8247,3," babenko ,  jegelka ,  sullivan "
8508,3," smoothers ,  tof ,  weightsw "
8766,3," pregnancy ,  pregnant ,  gallup "
8980,3," alch ,  beygelzimer ,  buc "
9174,3," curren ,  ose ,  righ "
9338,3," thechoiceof ,  themodel ,  trainingdataset "
9800,3," citing ,  ocw ,  opencourseware "
9878,3," divorced ,  rectilinear ,  taxable "
9948,3," smoke ,  smoker ,  smokes "
10309,3," localities ,  recapitulate ,  tanks "
11017,3," schemas ,  materialized ,  participates "
11236,3," critique ,  graded ,  hides "
11918,3," dorogush ,  gulin ,  prokhorenkova "
11978,3," mdpi ,  basel ,  crossref "
11994,3," parmar ,  polosukhin ,  uszkoreit "
12211,3," approvals ,  irb ,  screenshots "
12612,3," strata ,  stratum ,  stratification "
13060,3," rissanen ,  kiss ,  arr "
13130,3," tft ,  dampen ,  hyphen "
13149,3," twist ,  memorized ,  distracted "
13361,3," subbiah ,  ryder ,  dhariwal "
13753,3," iforest ,  itree ,  itrees "
13904,3," bigdata ,  hdfs ,  zaharia "
13939,3," sanjeev ,  sepal ,  gaurav "
14231,3," xtest ,  xtrain ,  regressio "
14437,3," sne ,  tsne ,  lvdmaaten "
15080,3," becom ,  outsider ,  shines "
15192,3," chaumond ,  debut ,  sanh "
15366,3," kutner ,  nachtsheim ,  neter "
16484,3," spills ,  kubat ,  matwin "
16543,3," mirella ,  chuang ,  perelygin "
16815,3," adaptiv ,  ortance ,  ypically "
16935,3," ciaccia ,  patella ,  zezula "
17337,3," ehr ,  consultant ,  surgeons "
17498,3," batista ,  monard ,  tomek "
17632,3," nonorthogonal ,  hoerl ,  kennard "
17802,3," correlogram ,  acfs ,  autocovariance "
17828,3," bissacco ,  netzer ,  svhn "
18134,3," gbdt ,  lending ,  bahrami "
18358,3," hendricks ,  rohrbach ,  venugopalan "
18468,3," fabio ,  tommi ,  meek "
19117,3," bengali ,  telugu ,  pushpak "
4,2," addison ,  wesley "
474,2," mcneil ,  hanley "
504,2," nel ,  ker "
919,2," carlo ,  monte "
986,2," dgp ,  granger "
1711,2," forcement ,  rein "
1728,2," garey ,  intractability "
1827,2," kaufmann ,  morgan "
1832,2," kullback ,  leibler "
1869,2," mance ,  perfor "
2521,2," creativecommons ,  licenses "
2640,2," ier ,  outl "
3010,2," autoencoder ,  autoencoders "
3063,2," dickstein ,  sohl "
3697,2," xlim ,  ylim "
3756,2," denom ,  inator "
3838,2," xlabel ,  ylabel "
4103,2," boca ,  raton "
4226,2," cliffs ,  englewood "
4433,2," degroot ,  ohio "
4446,2," dempster ,  laird "
4450,2," dent ,  indepen "
4901,2," hastings ,  metropolis "
4945,2," hosmer ,  lemeshow "
4955,2," huberty ,  olejnik "
5016,2," indep ,  ert "
5195,2," levine ,  abbeel "
5243,2," longitudi ,  distress "
5285,2," mardia ,  bibby "
5566,2," peck ,  vining "
5738,2," quandt ,  goldfeld "
5894,2," sahu ,  ijcse "
6183,2," thejth ,  cjj "
6435,2," xxiii ,  xxiv "
6527,2," diately ,  imme "
6616,2," messier ,  solidify "
6704,2," sunny ,  humidity "
6866,2," adverb ,  determiner "
6927,2," abnormalities ,  mehrotra "
6951,2," disorders ,  respiratory "
7075,2," anno ,  tated "
7234,2," nowak ,  pfa "
7247,2," abso ,  lute "
7291,2," cjlin ,  csie "
7296,2," commons ,  creative "
7299,2," complies ,  legislation "
7334,2," functiony ,  sor "
7366,2," karush ,  kkt "
7394,2," moor ,  vandewalle "
7396,2," neously ,  simulta "
7430,2," province ,  provincial "
7523,2," matplotlib ,  pyplot "
7588,2," modulo ,  toussaint "
7765,2," chicken ,  egg "
7906,2," ramanan ,  zitnick "
7984,2," culotta ,  omnipress "
8155,2," lanobis ,  maha "
8241,2," arbi ,  trary "
8345,2," larlus ,  sivic "
8453,2," alculating ,  alculation "
8458,2," biasb ,  sthe "
8545,2," attended ,  cohorts "
8562,2," bliss ,  pitman "
8670,2," horwood ,  michie "
8850,2," tories ,  trajec "
8915,2," ege ,  umontreal "
8928,2," hosking ,  perron "
9004,2," cons ,  pros "
9061,2," maire ,  perona "
9105,2," shaoqing ,  xiangyu "
9160,2," ariational ,  orld "
9189,2," esian ,  urthermore "
9378,2," immedi ,  mckean "
9524,2," ignorant ,  reassuring "
9673,2," biguation ,  disam "
9783,2," thelogit ,  weightw "
9809,2," disagree ,  dozens "
9811,2," female ,  male "
9817,2," lived ,  recast "
9834,2," labelsyi ,  probabilitiesp "
9970,2," bhubaneswar ,  niser "
9973,2," diederik ,  jimmy "
9985,2," analytica ,  chimica "
9987,2," arinen ,  hyv "
9995,2," carreira ,  vanced "
10050,2," kaski ,  peltonen "
10153,2," alt ,  ernative "
10175,2," equivariant ,  qualifying "
10258,2," deem ,  smax "
10268,2," investigators ,  prepares "
10290,2," ascribable ,  assignable "
10328,2," mastered ,  meetings "
10455,2," dens ,  uding "
10468,2," ena ,  phenom "
10471,2," establ ,  iation "
10505,2," obability ,  prio "
10594,2," alto ,  palo "
10605,2," cau ,  enthusiastic "
10668,2," magni ,  tude "
10718,2," sideration ,  tiv "
10750,2," demp ,  ster "
10958,2," divisive ,  agglomerative "
11104,2," mizil ,  niculescu "
11192,2," ttt ,  tttt "
11211,2," eachxi ,  ofz "
11316,2," aoms ,  albers "
11768,2," perfo ,  rmance "
11895,2," catboost ,  lightgbm "
11899,2," chicco ,  jurman "
11926,2," engi ,  neering "
11940,2," freund ,  schapire "
11959,2," informedness ,  markedness "
12342,2," exchangeability ,  finetti "
12497,2," esis ,  hypoth "
12622,2," arenot ,  opts "
12731,2," choos ,  compres "
12834,2," folder ,  installation "
12905,2," kakade ,  sham "
12957,2," monro ,  robbins "
12966,2," nauk ,  sssr "
13141,2," tow ,  deoras "
13193,2," abadie ,  pouget "
13234,2," ecker ,  gatys "
13261,2," harley ,  lillicrap "
13283,2," komodakis ,  zagoruyko "
13319,2," osdi ,  usenix "
13359,2," striving ,  asic "
13389,2," willmott ,  matsuura "
13631,2," crosstab ,  spreadsheets "
13809,2," rajeev ,  effectual "
13964,2," bowyer ,  kegelmeyer "
14104,2," atif ,  dogan "
14503,2," breusch ,  pagan "
14524,2," isomap ,  tenenbaum "
14724,2," pavel ,  ronan "
14909,2," hyndman ,  athanasopoulos "
15008,2," nil ,  quit "
15097,2," hed ,  migh "
15121,2," rding ,  rega "
15188,2," bool ,  unsqueeze "
15189,2," boulesteix ,  laure "
15230,2," probst ,  tunability "
15259,2," deerwester ,  furnas "
15351,2," acf ,  pacf "
15368,2," ljung ,  sarima "
15377,2," sodium ,  refused "
15702,2," alln ,  cooks "
15703,2," dfbetas ,  dffits "
15762,2," mlearn ,  mlrepository "
15829,2," decompression ,  boson "
16031,2," nuclei ,  sevens "
16314,2," tokenizers ,  bpe "
16333,2," baroni ,  dinu "
16378,2," reichart ,  simlex "
16467,2," envi ,  ronment "
16531,2," iglesias ,  outbreak "
16650,2," harada ,  ushiku "
16707,2," sainbayar ,  sukhbaatar "
16768,2," blei ,  steyvers "
16782,2," mover ,  rubner "
16834,2," hing ,  matc "
16837,2," lifting ,  outp "
16845,2," remo ,  ving "
16945,2," edits ,  warps "
17069,2," wel ,  followin "
17500,2," croatia ,  dubrovnik "
17501,2," disjuncts ,  prati "
